n_estimators,max_depth,min_samples_split,min_samples_leaf,learning_rate,subsample,max_features,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,mean_r_squared,time_taken
100,7,10,2,0.1,1.0,sqrt,9.932911372626979,15.96380656272529,164.65760924176124,12.827807680354487,0.04062046612430544,0.7022737464923303,1.0838723182678223
50,7,2,4,0.1,1.0,log2,9.896986183351828,16.062414360388132,165.99568959596067,12.873915668665134,0.04114925494851738,0.6997668362304947,0.4989814758300781
100,5,5,2,0.1,1.0,log2,9.928963481722667,16.108386831706135,166.04341715967635,12.87807456308568,0.04141184700352545,0.6996488608609435,0.8498632907867432
150,5,10,2,0.1,1.0,sqrt,9.948581273234387,16.017378716434006,166.5840257014856,12.90215516391281,0.04176307931194108,0.6987617826601111,1.1182548999786377
50,7,10,2,0.1,0.8,sqrt,9.952347424078997,16.091198093740395,166.79616047601536,12.906262986647082,0.041152060229483534,0.6983956850201759,0.5334041118621826
100,5,2,2,0.1,0.8,log2,9.944192611144842,16.061030201360317,166.81843618057016,12.904478084587458,0.04152580207833574,0.698435616413623,1.1383771896362305
100,5,10,4,0.1,1.0,log2,9.937299408085048,16.050402181768604,167.17112742737584,12.918653616302398,0.04124410603539988,0.6977204834263115,0.8761730194091797
100,5,10,2,0.1,1.0,sqrt,9.934524599446666,16.08209614270718,167.3324446835748,12.92905754524892,0.041743857049799625,0.6974205366558266,0.800051212310791
50,7,5,2,0.1,1.0,sqrt,9.935907566738326,16.141740911935532,167.34189516495385,12.926894116312647,0.04162934987362983,0.697371365198101,0.5001997947692871
200,5,10,1,0.1,1.0,log2,9.89766036331119,15.932662235812945,167.42742181538745,12.927026686004094,0.041498716985384036,0.6971882284318239,1.428032398223877
100,5,5,2,0.1,0.8,log2,9.93463009009235,15.91568111951267,167.47721111553756,12.935622358056742,0.04081336099817199,0.6971629774676884,0.7991290092468262
50,7,2,2,0.1,1.0,sqrt,9.928313968887586,16.099083431462024,167.71872365417147,12.940498728940815,0.04155060181729484,0.6966991332310238,0.5480613708496094
100,5,2,1,0.1,0.8,log2,9.924397933489532,16.061526250084654,167.77641175843848,12.945908218540703,0.041851567682544166,0.6965989554566079,0.5677821636199951
100,5,2,4,0.1,1.0,log2,9.939111890224385,16.160200091575824,168.22071265600698,12.962008309003767,0.0421087386974211,0.6959339223733506,0.6654298305511475
100,5,5,1,0.1,1.0,sqrt,9.962839433437109,16.105274045890123,168.406818375879,12.970367060103218,0.041619195860263386,0.695502771987791,0.8554747104644775
200,5,2,4,0.1,0.8,log2,10.016386257008586,16.11048322558674,168.54368623160852,12.973926038566072,0.042296954793472695,0.6953062765719839,1.0157222747802734
50,7,5,2,0.1,1.0,log2,10.021046656045879,16.25156416324342,168.60857010260216,12.975403854440737,0.04172002708109274,0.6950653654655169,0.4749133586883545
100,5,5,4,0.1,1.0,log2,9.933362116070153,16.070971213585405,168.6184310486564,12.96988980105741,0.041478165144207595,0.6951436257009209,0.740790843963623
150,5,5,4,0.1,0.8,sqrt,10.021212012692333,16.049985074111063,168.88331878985338,12.98866334713926,0.04146193774234945,0.694726288394136,1.1600110530853271
100,5,5,1,0.1,1.0,log2,10.004339502548358,16.198513162968787,169.0966870717585,12.994955744763763,0.04194236322224995,0.6942825345864133,0.8590714931488037
100,5,5,2,0.1,0.8,sqrt,9.971619869341726,16.05590753552713,169.10683701388027,12.99488680048477,0.041277249706943006,0.6942426216966993,0.6671485900878906
50,7,10,4,0.1,0.8,sqrt,10.00657654796279,16.163685980129138,169.12789488784256,12.997268490078685,0.04122081193877757,0.694184627810875,0.5072777271270752
100,5,5,2,0.1,1.0,sqrt,9.993156387993253,16.21141331986312,169.16192169747774,12.992647508481713,0.04238585358664397,0.694080983522731,0.6672954559326172
50,7,5,4,0.1,1.0,log2,10.032311244402115,16.302493646505145,169.18323474618342,12.994209231291402,0.0417144281283575,0.6941731643554178,0.4791724681854248
50,7,10,2,0.1,1.0,sqrt,9.935638854020544,16.180223834968793,169.18851944950345,13.001792988506779,0.04183201872796212,0.6941203359323378,0.47475576400756836
150,5,10,4,0.1,1.0,log2,10.027329063786144,16.180030432367843,169.26945093542707,12.996347095891775,0.04231245591568569,0.6939986489202694,1.1010222434997559
50,7,10,4,0.1,1.0,sqrt,10.02733052906337,16.2916085736193,169.29526243953458,13.001557283161493,0.041720772681350646,0.6938494972234454,0.4305112361907959
150,5,2,1,0.1,1.0,log2,9.98507927772867,16.083980353724087,169.31501818100816,13.003865600310684,0.04207427367812606,0.6938329000025237,1.1675169467926025
150,5,5,2,0.1,1.0,log2,9.978747973984145,16.17561501861964,169.35013917633506,13.005554889643747,0.04239466909467318,0.6938053457626341,1.250000238418579
50,7,5,4,0.1,1.0,sqrt,10.011785324586445,16.17438263196082,169.37281059110563,12.99954942404969,0.04132877399537042,0.6938719366569582,0.5372011661529541
100,5,2,1,0.1,1.0,sqrt,9.971803941662811,16.193106409263418,169.37324690622808,13.002604793081534,0.042419312666526085,0.6937327849471941,0.7569677829742432
200,5,10,1,0.1,1.0,sqrt,9.988053444940764,16.123271994615745,169.38259914276858,13.00880139168471,0.042478027417737776,0.6936577741072321,1.221024751663208
150,5,5,4,0.1,1.0,log2,10.030754951496814,16.1082064116944,169.38619720466787,13.00591044957353,0.04206013277912303,0.6938013831205578,1.3259005546569824
100,5,2,4,0.1,0.8,sqrt,9.959769067215152,16.043452980059893,169.39268805919139,13.004863565584966,0.04128815877793842,0.6937344786355921,0.7364275455474854
150,5,2,1,0.1,1.0,sqrt,10.006748476549848,16.19555667077774,169.4572504940154,13.009083951187227,0.042944884712001585,0.693583731254179,1.0471405982971191
150,5,5,1,0.1,1.0,sqrt,10.012693779061967,16.272261130332712,169.53901358445472,13.012482690892842,0.04281055808361563,0.6934430014628503,1.1667566299438477
50,7,10,1,0.1,1.0,log2,9.986781781259754,16.21986850966489,169.57184715838983,13.011538050387063,0.04168547931960857,0.6932868997641408,0.3619413375854492
100,5,5,1,0.1,0.8,sqrt,10.043292989008984,16.22447012064786,169.6710963824161,13.017690341257923,0.04227742752217687,0.6932838878581087,0.8346824645996094
200,3,2,2,0.1,0.8,sqrt,10.046749477498482,16.242563581829035,169.67303941787435,13.018614708179314,0.04284817858612612,0.6931685490780899,1.0924530029296875
50,7,10,1,0.1,0.8,log2,10.04882027894738,16.38870767593219,169.7047270383827,13.022295913234817,0.04255467089425057,0.6931101000699773,0.46751832962036133
150,5,2,4,0.1,1.0,sqrt,10.010410666386685,16.219561132323314,169.73685067002012,13.017404417873484,0.042329380091512145,0.693086379012291,1.0578131675720215
150,5,10,1,0.1,1.0,sqrt,10.020382510043833,16.231635911544295,169.79498358277414,13.017030598732376,0.042499376570718846,0.6929162153201979,1.0652823448181152
50,7,10,1,0.1,1.0,sqrt,10.003541303347344,16.35000684600426,169.83990367495278,13.023855979955567,0.04230843918095095,0.6928531612771363,0.47620677947998047
150,5,10,1,0.1,0.8,sqrt,9.979548462293149,16.154121193750203,169.9444604686086,13.03293657716048,0.04259129678444283,0.6927139580487734,1.208014965057373
200,5,2,4,0.1,1.0,log2,10.038189428462957,16.213185869516998,169.97375547055472,13.02498946039033,0.042758907892109774,0.6928239834074355,1.0181145668029785
100,5,10,2,0.1,1.0,log2,10.058104323431365,16.303881574207306,170.0213136477858,13.032541345482716,0.042371237228493605,0.6925466850002893,0.9178953170776367
200,5,5,4,0.1,1.0,log2,10.07526687098976,16.250444162159436,170.06025684489927,13.030795677598832,0.04225713391408135,0.6926214720812073,0.9501228332519531
100,5,10,1,0.1,1.0,sqrt,9.90388607002505,16.029588349513734,170.0796830799962,13.031838675470464,0.04212625934881257,0.6924223973353014,0.8538057804107666
200,5,5,2,0.1,1.0,sqrt,10.07503712024931,16.178419252952512,170.10385132491942,13.034017371375981,0.04262929928607097,0.6925021066323287,1.033806562423706
100,5,2,4,0.1,1.0,sqrt,10.022635212691409,16.27779307815072,170.14078164705222,13.034494302821225,0.04246862112802478,0.6924458683889876,0.6642582416534424
100,5,2,2,0.1,1.0,log2,9.986930250282494,16.16542287867229,170.14263126444797,13.035241762044478,0.04169428920297934,0.6924144427069885,0.8496601581573486
100,5,10,2,0.1,0.8,log2,10.043681476777156,16.209720968334118,170.14323218518683,13.036358652722743,0.0418815088610393,0.6922156329333058,0.6659245491027832
150,5,10,1,0.1,0.8,log2,10.058476258195341,16.335991524040484,170.1894229253959,13.034184968695788,0.04306879773088233,0.692342949834299,1.3265297412872314
150,5,10,2,0.1,1.0,log2,9.973843307927204,16.044190279393508,170.19600251440465,13.03978682211176,0.04203044827166834,0.6922859855284672,1.2336125373840332
50,7,10,4,0.1,0.8,log2,9.999072706127096,16.146464716485674,170.19897223038345,13.034985766878233,0.041339882939227204,0.6921979227559569,0.3797421455383301
50,7,10,2,0.1,1.0,log2,10.029052466489969,16.25986491885553,170.24137914875368,13.038319201534526,0.041709791061884126,0.6921080052460316,0.5045511722564697
50,7,2,1,0.1,1.0,log2,10.044839901615855,16.314870243218042,170.27932820982898,13.035312201640158,0.041781462495163624,0.6921890883077578,0.6162118911743164
200,5,10,2,0.1,1.0,log2,10.081867673996646,16.19226196877504,170.32475327475942,13.043640832800824,0.042954774703782506,0.691951412836256,1.1607439517974854
100,7,10,1,0.1,1.0,log2,10.040298004749598,16.24296066625227,170.3435609750781,13.043537709002686,0.04228513498898257,0.6919958046370394,1.2332947254180908
50,5,2,4,0.2,0.8,log2,10.088352478322495,16.27038595374151,170.38204390873784,13.047001386457413,0.042126929175371156,0.6918403063677191,0.2623286247253418
100,7,5,4,0.1,1.0,sqrt,10.039312384230087,16.16262680754228,170.4401363369108,13.04612439843718,0.04186308547345793,0.6918361038514546,1.1737635135650635
100,7,10,4,0.1,0.8,log2,10.043021936470376,16.18867588026615,170.46493184204851,13.043000532223491,0.04192962509385319,0.6918235746173647,0.9878790378570557
150,5,10,2,0.1,0.8,log2,10.00944899781134,16.06434189351901,170.47901943099686,13.044342488410607,0.042019776947330466,0.6919022790548448,1.2154319286346436
100,5,5,4,0.1,1.0,sqrt,10.01007086991091,16.11869621400178,170.48101538543682,13.04755414068384,0.04174274350927384,0.6917658332883919,0.7003085613250732
