time,temperature_2m_max (°C),rain_sum (mm),precipitation_hours (h),dia_de_la_semana,semana_del_mes,semana_del_anio,anio,mes,es_fin_de_semana,es_festivo_mexico,dia_partido,es_dia_laborable,weathercode_3,weathercode_53
7/7/2018,27,3.5,8,5,27,27,2018,7,1,0,0,0,0,0
12/22/2018,26.6,0,0,5,51,51,2018,12,1,0,0,0,0,0
9/4/2020,31.6,0,0,4,36,36,2020,9,0,0,0,1,0,0
12/25/2017,15.2,0,0,0,53,53,2017,12,0,1,0,0,0,0
1/29/2022,12.5,0,0,5,5,5,2022,1,1,0,0,0,1,0
7/18/2020,30.5,0.6,1,5,29,29,2020,7,1,0,0,0,0,1
7/1/2021,28.5,0.4,2,3,27,27,2021,7,0,0,0,1,0,0
8/27/2020,33.8,0,0,3,35,35,2020,8,0,0,0,1,0,0
9/23/2020,30,0,0,2,39,39,2020,9,0,0,0,1,0,0
6/10/2018,33.8,0,0,6,24,24,2018,6,1,0,0,0,0,0
10/16/2021,22.2,29.5,11,5,42,42,2021,10,1,0,0,0,0,0
8/28/2021,34.5,0,0,5,35,35,2021,8,1,0,0,0,0,0
8/28/2022,32.1,0.5,1,6,36,36,2022,8,1,0,1,0,0,1
3/18/2018,35.2,0,0,6,12,12,2018,3,1,0,1,0,0,0
1/11/2020,22.1,0,0,5,2,2,2020,1,1,0,0,0,0,0
10/2/2022,27,0,0,6,41,41,2022,10,1,0,1,0,0,0
6/21/2019,34.2,0,0,4,25,25,2019,6,0,0,0,1,0,0
6/29/2020,31.8,0.6,2,0,27,27,2020,6,0,0,0,1,0,0
10/27/2017,24,0,0,4,44,44,2017,10,0,0,0,1,0,0
10/27/2019,27.3,0,0,6,44,44,2019,10,1,0,1,0,0,0
2/6/2017,27.2,0,0,0,7,7,2017,2,0,1,0,0,0,0
11/10/2018,13.3,0.5,3,5,45,45,2018,11,1,0,0,0,0,0
8/25/2019,34.1,1.9,3,6,35,35,2019,8,1,0,1,0,0,0
11/29/2017,22.4,0,0,2,49,49,2017,11,0,0,0,1,1,0
10/27/2020,21.2,6.4,20,1,44,44,2020,10,0,0,0,1,0,1
3/13/2022,18.5,0,0,6,12,12,2022,3,1,0,0,0,0,0
4/23/2017,21.8,5.5,11,6,18,18,2017,4,1,0,1,0,0,1
2/26/2020,15.1,0,0,2,9,9,2020,2,0,0,0,1,0,0
5/8/2022,38.1,0,0,6,20,20,2022,5,1,0,1,0,0,0
8/13/2020,32.2,0,0,3,33,33,2020,8,0,0,0,1,0,0
